"lang" 
{ 
	"Language" "czech" 
	"Tokens" 
	{
		"Citadel_Dashboard_BuildVersion"	"Build {d:buildNumber} – {s:buildTime}"
		"GameUI_Disconnect_SteamDeny_Misc"			"Byl jsi odpojen od herního serveru, protože došlo k neznámé chybě ve spojení se službou Steam."
		"GameUI_Disconnect_SteamDeny_BadAntiCheat"	"Byl jsi odpojen od herního serveru, protože ochrana Valve Anti-Cheat není kompatibilní."
		"GameUI_Disconnect_ServerShutdown"			"Byl jsi odpojen od herního serveru, protože tento server se vypíná."
		"GameUI_Disconnect_ReplayIncompatible"		"Záznam není kompatibilní."
		"GameUI_Disconnect_ConnectionTimedout"		"Nepodařilo se navázat spojení s herním serverem."
		"GameUI_Disconnect_ServerIncompatible"		"Verze na serveru není kompatibilní."

		"GameUI_Disconnect_LocalProblem_ManyRelays"	"Spojení bylo ztraceno i po vyzkoušení několika převaděčů na různých místech světa. Pravděpodobně se tedy jedná o chybu tvého připojení k internetu."
		"GameUI_Disconnect_LocalProblem_HostedServerPrimaryRelay"	"Herní server ztratil spojení s primárním převaděčem používaným klientem."
		"GameUI_Disconnect_LocalProblem_NetworkConfig"	"Zkontroluj své připojení k internetu. Nepodařilo se stáhnout nastavení sítě od CDN."
		"GameUI_Disconnect_LocalProblem_Other"	"Byl jsi odpojen. Zdá se, že s tvým připojením k internetu není něco v pořádku."

		"GameUI_Disconnect_RemoteProblem_Timeout"			"Hra přestala přijímat odpovědi od vzdáleného hostitele."
		"GameUI_Disconnect_RemoteProblem_TimeoutConnecting"	"Server neodpověděl ani po několika pokusech o připojení."
		"GameUI_Disconnect_RemoteProblem_Other"				"Při komunikaci se vzdáleným hostitelem došlo k chybě."
		"GameUI_Disconnect_RemoteProblem_BadCrypt"			"Vzdálený hostitel poskytnul nesprávný certifikát, šifrovací klíč nebo podpis."
		"GameUI_Disconnect_RemoteProblem_BadCert"			"Certifikát vzdáleného hostitele nedostačuje požadavkům pro ověření."
		"GameUI_Disconnect_Unusual"							"Byl jsi odpojen, protože se stalo něco neočekávaného. Podrobnosti se možná dozvíš v konzoli."
		"GameUI_Disconnect_InternalError"					"Byl jsi odpojen z důvodu vnitřní chyby. Podrobnosti se možná dozvíš v konzoli."

		"GameUI_ServerConnectOutOfDate"		"Server není aktualizován na nejnovější verzi.\n"
		"GameUI_ServerChallengeIncorrect"	"Server správně neodpověděl na dotaz.\nPravděpodobně běží na neaktuální verzi.\n"
		"GameUI_ServerInsecure"				"Tvá hra je v nezabezpečeném módu. Musíš ji restartovat, aby bylo možno připojovat se k zabezpečeným serverům.\n"
		"GameUI_ServerRejectBadChallenge"	"Nesprávný dotaz na server.\n"
		"GameUI_ServerRejectLANRestrict"	"Lokální servery mohou přijímat jen lokální klienty (třída C).\n"
		"GameUI_ServerRejectBadPassword"	"Nesprávné heslo.\n"
		"GameUI_ServerRejectServerFull"		"Server je plný.\n"
		"GameUI_ServerRejectBanned"			"Na tomto serveru jsi zabanován.\n"
		"GameUI_ServerRejectFailedChannel"	"Nepodařilo se vytvořit síťový kanál.\n"
		"GameUI_ServerRejectOldVersion"		"Server, ke kterému se pokoušíš připojit, běží\nna starší verzi hry.\n"
		"GameUI_ServerRejectBadSteamKey"	"Neplatná délka klíče služby Steam.\n"
		"GameUI_ServerRejectOldProtocol"	"Tento server používá starší protokol než tvůj klient.\n"
		"GameUI_ServerRejectNewProtocol"	"Tento server používá novější protokol než tvůj klient.\n"
		"GameUI_ServerRejectInvalidConnection"	"Neplatné spojení.\n"
		"GameUI_ServerRejectInvalidCertLen"		"Chybná délka ověřovacího certifikátu.\n"
		"GameUI_ServerRejectInvalidSteamCertLen"	"Chyba délky certifikátu služby STEAM!\n"
		"GameUI_ServerRejectSteam" 			"Validace služby STEAM byla zamítnuta.\n"
		"GameUI_ServerRejectGS" 			"Nepodařilo se provést GSCreateLocalUser.\n"
		"GameUI_ServerNoLobby"				"Serveru se nepodařilo najít herní relaci.\n"
		"GameUI_ServerRequireSteams"		"Server vyžaduje spuštěného klienta služby Steam.\n"
		"GameUI_ServerAuthDisabled"			"Ověřování je zakázáno.\n"
		"GameUI_ServerCDKeyAuthInvalid"		"Ověření CD klíče není platné pro internetové servery.\n"
		"GameUI_ServerInvalidCDKey"			"Neplatný CD klíč.\n"
		"GameUI_ServerCDKeyInUse"			"CD klíč je již používán.\n"
		"GameUI_ClientRetryLimit"			"Nepodařilo se navázat spojení se serverem.\n"
		"GameUI_ClientBadServerAddress"		"Nesprávná adresa serveru.\n"
		"GameUI_ClientStringTableError"		"Tabulka řetězců klienta se liší od serverové. Aktualizuj svoji hru.\n"
		"GameUI_ClientUnableToCRCMap"		"Nelze vypočítat kontrolní součet mapy.\n"
		"GameUI_ClientNoMap"				"Nelze nahrát mapu, kterou vyžaduje server.\n"
		"GameUI_ClientDifferentMap"			"Tvá mapa se liší od mapy používané serverem. Aktualizuj svoji hru.\n"
		"GameUI_ClientUnableToCRCDLL"		"Nelze vypočítat kontrolní součet DLL knihoven klienta.\n"
		"GameUI_ClientConnectionTimedOut"	"Vypršel časový limit pro připojení k serveru.\n"
		"GameUI_ClientServerShutdown"		"Server se vypíná.\n"
		"GameUI_ClientMissingModel"			"Spojení nemůže pokračovat vlivem chybějícího modelu.\n"
		"GameUI_ClientConsistencyFail"		"Server ukončil spojení, neboť vyžaduje konzistentnost modelů.\n"

		"citadel_replay_manager_error_chunk_failed"		"Záznam zatím není připraven ke stažení."
		"citadel_replay_manager_error_write_failure"	"Záznam se nepodařilo zapsat na místní disk."


		//Game
		"Citadel_Scoreboard_TeamKills"						"Zabití"
		"Citadel_Scoreboard_TeamAP"							"BS"
		"Citadel_Scoreboard_KDA_Kills"						"Z"
		"Citadel_Scoreboard_KDA_Deaths"						"Ú"
		"Citadel_Scoreboard_KDA_Assists"					"A"

		//Match Info
		"Citadel_ViewMatchID_Loading_Title"					"Načítání zápasu"
		"Citadel_ViewMatchID_Loading_Body"					"Čekej prosím"
		"Citadel_ViewMatchID_Loading_Error"					"Nepodařilo se načíst zápas"
		
		//Playtest User
		"Citadel_PlaytestUser_SubmitProcessing"				"Čekej prosím"
		"Citadel_PlaytestUser_SubmitProcessingTitle"		"Odesílání informací"
		"Citadel_PlaytestUser_Result_Success"				"Děkujeme, že jsi pozval tohoto uživatele!"
		"Citadel_PlaytestUser_Result_SuccessTitle"			"Informace byly odeslány"
		"Citadel_PlaytestUser_Result_GenericFailure"		"Informace nebyly odeslány, protože se nepodařilo navázat spojení se sítí hry Deadlock. Zkus to za okamžik znovu."
		"Citadel_PlaytestUser_Result_GenericFailureTitle"	"Chyba odesílání"
		"Citadel_PlaytestUser_Result_InvalidFriend"			"S požadovaným uživatelem se nepřátelíš."
		"Citadel_PlaytestUser_Result_NotFriendsLongEnough"	"S tímto uživatelem se nepřátelíš dostatečně dlouho na to, abys ho mohl pozvat k testování."
		"Citadel_PlaytestUser_Result_AlreadyHasGame"		"Tento uživatel už má přístup ke hře Deadlock."
		"Citadel_PlaytestUser_Result_LimitedUser"			"Účet služby Steam tohoto uživatele je omezený, a proto v tuto chvíli nemůže hrát hru Deadlock."

		// Discord Invite
		"Citadel_DiscordInvite_Title"						"Pozvánka na Discord"
		"Citadel_DiscordInvite_DiscordLink"					"Odkaz:"
		"Citadel_DiscordInvite_DiscordLinkHours"			"Tento odkaz zůstane platný {i:num_hours} hodiny"
		"Citadel_DiscordInvite_AlreadyClaimedTitle"			"Pozvánka už byla použita"
		"Citadel_DiscordInvite_AlreadyClaimedText"			"Svoji pozvánku na Discord jsi už použil. Každý hráč má povolenou pouze jednu pozvánku."
		"Citadel_DiscordInvite_FailedTitle"					"Chyba"
		"Citadel_DiscordInvite_FailedText"					"V tuto chvíli se nám nepodařilo vytvořit pro tebe pozvánku na Discord. Příčinou je nejspíš velké vytížení. Zkus to později znovu."
		"Citadel_DiscordInvite_DisabledTitle"				"Zakázáno"
		"Citadel_DiscordInvite_DisabledText"				"Vytváření pozvánek na Discord je z důvodu údržby dočasně zakázáno. Zkus to za chvíli znovu."
		"Citadel_DiscordInvite_Close"						"Zavřít"
		"Citadel_DiscordInvite_Copied"						"Zkopírováno"
		"Citadel_DiscordInvite_ConfirmCloseTitle"			"Potvrzení zavření"
		"Citadel_DiscordInvite_ConfirmCloseText"			"Opravdu chceš zavřít okno s pozvánkou na Discord? Pokud tak učiníš, pozvánku už nebudeš moci nikdy vytvořit."
		"Citadel_DiscordInvite_CopyLink"					"Kopírovat odkaz do schránky"
		"Citadel_DiscordInvite_Description"					"Tvoje pozvánka na Discord hry Deadlock je uvedena níže – vlož její odkaz do prohlížeče a pokračuj podle instrukcí."
		"Citadel_DiscordInvite_Loading"						"Načítání..."

		"Citadel_Key_Escape"								"Esc"
		"Citadel_Key_Space"									"Mezerník"

		// User Feedback
		"Citadel_UserFeedback_Tooltip"						"Odeslat zpětnou vazbu"
		"Citadel_UserFeedback_Title"						"Zpětná vazba"
		"Citadel_UserFeedback_TextPlaceholder"				"Sem zadej informace"
		"Citadel_UserFeedback_TypeLabel"					"Typ"
		"Citadel_UserFeedback_Submit"						"Odeslat zpětnou vazbu"
		"Citadel_UserFeedback_SubmitProcessing"				"Čekej prosím"
		"Citadel_UserFeedback_SubmitProcessingTitle"		"Odesílání zpětné vazby"
		"Citadel_UserFeedback_Result_Success"				"Děkujeme za tvoji zpětnou vazbu. Nyní bude předána vývojářům."
		"Citadel_UserFeedback_Result_SuccessTitle"			"Zpětná vazba byla odeslána"
		"Citadel_UserFeedback_Result_GenericFailure"		"Zpětná vazba nebyla odeslána, protože se nepodařilo navázat spojení se sítí hry Deadlock. Zkus to za okamžik znovu."
		"Citadel_UserFeedback_Result_GenericFailureTitle"	"Chyba odesílání"
		"Citadel_UserFeedback_eType_CriticalBug"			"Kritická chyba"
		"Citadel_UserFeedback_eType_Bug"					"Chyba"
		"Citadel_UserFeedback_eType_Suggestion"				"Návrh"
		"Citadel_UserFeedback_eType_Other"					"Jiný"
		"Citadel_UserFeedback_eType_General"				"Obecná zpětná vazba"

		"Citadel_RecommendFriend_Title"						"Zvaní přátel k testování"
		"Citadel_RecommendFriend_desc"						"Máš přátele, kteří by se také chtěli zúčastnit testování?<br>Najdi je níže a pozvi je prostřednictvím služby Steam."
		"Citadel_RecommendFriend_Timing_desc"				"Pozvánky jsou obvykle odesílány do 1–2 dnů, ale někdy se mohou zpozdit."
		"Citadel_RecommendFriend_PopupButton"				"Odeslat"
		"Citadel_RecommendFriend_SelectTitle"				"Vyber přítele ve službě Steam:"
		"Citadel_RecommendFriend_ErrorMsg"					"Musíš vybrat uživatele ze seznamu"
		"Citadel_RecommendFriend_Email"						"E-mail:"
		"Citadel_RecommendFriend_EmailPrompt"				"E-mailová adresa"
		"Citadel_RecommendFriend_EmailDesc"					"(E-mailová adresa, na které zastihneme tvého přítele – nemusí se shodovat s adresou přiřazenou k jeho účtu služby Steam)"
		"Citadel_RecommendFriend_Region"					"Region:"
		"Citadel_RecommendFriend_Comments"					"Komentáře:"
		"Citadel_RecommendFriend_CommentsPrompt"			"Stručně popiš, o koho se jedná"
		"Citadel_RecommendFriend_Region_NA"					"Severní Amerika"
		"Citadel_RecommendFriend_Region_SA"					"Jižní Amerika"
		"Citadel_RecommendFriend_Region_EU"					"Evropa"
		"Citadel_RecommendFriend_Region_SEA"				"Asie/Tichomoří"
		"Citadel_RecommendFriend_Region_Other"				"Jiný (upřesni v komentářích)"
		"Citadel_RecommendFriend_LocWarning"				"Ačkoli pracujeme na přidání dalších jazyků, v tuto chvíli je ve hře dostupná pouze angličtina. Vezmi to tedy na vědomí, než pozveš své přátele."

		// Report Player
		"Citadel_ReportPlayer_Result_Success"				"Děkujeme za tvoje nahlášení!"
		"Citadel_ReportPlayer_Result_SuccessTitle"			"Hráč byl nahlášen!"
		"Citadel_ReportPlayer_Title"						"Nahlášení hráče"
		"Citadel_ReportPlayer_Desc"							"Nahlas tohoto hráče za nevhodné chování."
		"Citadel_ReportPlayer_Result_GenericFailure"		"Nahlášení nebylo odesláno, protože se nepodařilo navázat spojení se sítí hry Deadlock. Zkus to za okamžik znovu."
		"Citadel_ReportPlayer_Result_AlreadyReported"		"Tohoto hráče jsi už nahlásil."
		"Citadel_ReportPlayer_Result_WindowClosed"			"Vypršel časový limit pro nahlášení. Hráče je možné nahlásit v rámci jedné hodiny od skončení zápasu."
		"Citadel_ReportPlayer_Reason_Title"					"Důvod:"
		"Citadel_ReportPlayer_Reason_VoiceTextAbuse"		"Zneužití hlasového/textového chatu"
		"Citadel_ReportPlayer_Reason_Abandon"				"Opuštění zápasu"
		"Citadel_ReportPlayer_Reason_Griefing"				"Kazení hry"
		"Citadel_ReportPlayer_Reason_MatchmakingIssue"		"Problém s vyhledáváním"
		"Citadel_ReportPlayer_Reason_Comments"				"Komentáře:"
		"Citadel_ReportPlayer_CommentPlaceholder"			"Popiš, jaký problém jsi měl s tímto hráčem"

		"Citadel_SkipTutorial_Title"						"Přeskočení tutoriálu"
		"Citadel_SkipTutorial_Body"							"Opravdu chceš přeskočit tento tutoriál? Takový odvážný krok doporučujeme, pouze pokud už jsi tuto hru hrál."

		"Citadel_Region_NA"									"Severní Amerika"
		"Citadel_Region_Europe"								"Evropa"
		"Citadel_Region_SEA"								"Asie"
		"Citadel_Region_SAmerica"							"Jižní Amerika"
		"Citadel_Region_Oceania"							"Oceánie"

		"Citadel_DisableDevMessage"							"Znovu nezobrazovat"

		"Citadel_GenericError_RegionInfoNotProvided"				"Pro možnost hraní online musíš zaregistrovat svůj účet."
		"Citadel_GenericError_DurationControlBlocked"				"Překročil jsi maximální povolenou dobu hraní online."
		"Citadel_GenericError_InvalidClientVersion"					"Tvůj herní klient se kvůli rozdílům mezi verzemi nemůže připojit na tento server. Zkus ho aktualizovat na nejnovější verzi."

		"Citadel_MatchHistory_NoResponse"							"Nepodařilo se navázat spojení se sítí hry Deadlock. Zkus to později znovu."
		"Citadel_MatchHistory_InternalError"						"Při získávání historie zápasů došlo k neočekávané chybě."
		"Citadel_MatchHistory_InvalidPermission"					"Nemáš oprávnění prohlížet si historii zápasů tohoto hráče."
		"Citadel_MatchHistory_TemporarilyDisabled"					"Prohlížení historie zápasů bylo z důvodu údržby dočasně zakázáno."
		"Citadel_MatchHistory_TooBusy"								"Síť hry Deadlock je příliš zaneprázdněna a nemůže poskytnout historii zápasů."
		"Citadel_MatchHistory_RateLimited"							"Před vyžádáním dalších záznamů z historie zápasů chvíli počkej."

		"Citadel_MatchHistory_Loss" "Porážka"
		"Citadel_MatchHistory_Win" "Vítězství"
		"Citadel_MatchDetails_NoResponse"							"Nepodařilo se navázat spojení se sítí hry Deadlock. Zkus to později znovu."
		"Citadel_MatchDetails_InternalError"						"Při získávání detailů zápasu došlo k neočekávané chybě."
		"Citadel_MatchDetails_InvalidPermission"					"Nemáš oprávnění prohlížet si detaily tohoto zápasu."
		"Citadel_MatchDetails_TemporarilyDisabled"					"Prohlížení detailů zápasu bylo z důvodu údržby dočasně zakázáno."
		"Citadel_MatchDetails_TooBusy"								"Síť hry Deadlock je příliš zaneprázdněna a nemůže poskytnout detaily zápasu."
		"Citadel_MatchDetails_RateLimited"							"Před vyžádáním dalších detailů zápasu chvíli počkej."
		"Citadel_MatchDetails_InvalidMatch"							"Neplatné ID zápasu"
		"Citadel_MatchDetails_MatchInFlight"						"Tento zápas ještě nebyl dohrán"

		"Citadel_MatchDetails_WinningTeam"							"Zvítězil tým {g:citadel_team_name:winning_team}"
		"Citadel_MatchDetails_ServerError"							"Chyba serveru"

		"Citadel_Hud_Paused"										"Zápas je pozastaven"
		"Citadel_Hud_Unpausing"										"Opětovné spouštění"
		"Citadel_Notification_Paused_Title"							"Pozastaveno"
		"Citadel_Notification_Paused_Message"						"Zápas byl pozastaven"
		"Citadel_Notification_Unpaused_Title"						"Opět spuštěno"
		"Citadel_Notification_Unpaused_Message"						"Zápas je opětovně spouštěn..."
		"Citadel_Hud_PreGame_Countdown"								"Zápas začíná..."
		"Citadel_Hud_CantPause"										"Zápas není možné pozastavit ještě {i:pause_cooldown} sekund"
		"Citadel_Hud_CantUnpause"									"Zápas není možné spustit ještě {i:pause_cooldown} sekund"
		"Citadel_Hud_NoPausesLeft"									"Zápas nelze pozastavit – už jsi použil svoji jedinou pauzu."
		"Citadel_Hud_NoTeamPausesLeft"								"Zápas nelze pozastavit – tvůj tým už použil všechny své pauzy."
		"Citadel_Hud_PlayerSpeedUnits"								"m/s"
		"Citadel_Hud_ToNext"										"DO DARU"
		"Citadel_Hud_SoulsGathered"									"Sesbírané duše"
		"Citadel_Hud_HealthCritical"								"Kritické zdraví"
		"Citadel_Hud_HealthWarning"									"Nízké zdraví"
		"Citadel_Hud_LeaveMatch"									"OPUSTIT ZÁPAS"
		"Citadel_Hud_ReturnToMatch"									"ZPĚT DO ZÁPASU"
		"Citadel_Hud_MicActive"										"Je aktivní mikrofon"
		"Citadel_Hud_VoiceChatNotAvailable"							"Chat je momentálně zakázán"
		"Citadel_Hud_OutOfAmmo"										"BEZ NÁBOJŮ"
		"Citadel_Hud_LowAmmo"										"MÁLO NÁBOJŮ"
		"Citadel_Hud_NotEnoughEnergy"								"NEDOSTATEK ENERGIE"
		"Citadel_Hud_DPS"											"POŠK./S: {i:dps}"
		"Citadel_Hud_RespawnIn"										"Oživneš za:"
		"Citadel_Hud_RideZipLine"									"PODRŽENÍM [ {s:jump_key} ] naskočíš na dráhu"
		"Citadel_Hud_RideZipLineOnCooldownValue"					"{f:1:cooldown_seconds} s"
		"Citadel_Hud_RideZipLineOnCooldown"							"Nedostupné po utržení poškození"
		"Citadel_Hud_CaptureZipLine"								"PODRŽ {s:use_key}"
		"Citadel_Hud_OpenShop"										"Stiskem [ {s:upgrade_key} ] otevřeš obchod"
		"Citadel_Hud_LoadingDeathReplay"							"Načítání záznamu úmrtí"
		"Citadel_Hud_DebugStats"									"ZÁPAS: {s:match_id}\nFPS KLIENTA: {i:client_framerate}   ODEZVA: {i:ping} ms\nCPU SERVERU: {i:server_frametime_avg_pct} % (max.: {i:server_frametime_max_pct} %)"
		"Citadel_Hud_DeathCam"										"ZÁZNAM ÚMRTÍ"

		"Citadel_InvalidCast_NoFullClips"							"ŽÁDNÉ PLNÉ ZÁSOBNÍKY K PŘEBITÍ"


		"Citadel_Reconnect_IncompatibleVersionTitle"				"Nekompatibilní verze"
		"Citadel_Reconnect_IncompatibleVersionBody"					"Tvůj herní klient už není na verzi platné pro připojení k tomuto serveru."

		//"Citadel_Shop_Upgrade_Locked_Label"							"Lvl <span class=\"blueAP\">{i:unlockLevelRequired}</span>"
		//"Citadel_Shop_Player_Level_Label"							"Player Level: <span class=\"playerLevelNum\">{i:total_player_level}</span>"
		"Citadel_Shop_SelectedBuildHeader"							"{s:selected_build_name}"
		//"Citadel_Shop_TierBonus"									"Tier Bonus"
		"Citadel_Shop_TierBonus_Weapon"								"Fyzické poškození"
		"Citadel_Shop_TierBonus_Armor"								"Základní zdraví"
		"Citadel_Shop_TierBonus_Tech"								"Spirituální síla"
		//"Citadel_Item_Tooltip_ReturnToShop"							"Return to Shop to purchase"
		"Citadel_Item_Tooltip_CantAfford"							"Předmět si nemůžeš dovolit"
		//"Citadel_Player_Level_AbilityPoints"						"<span class=\"boldText\">1 Ability Point</span> gained at levels 2, 3, 5, 7, and each level after"
		//"Citadel_Player_Level_AbilityUnlocks"						"<span class=\"boldText\">1 Ability Unlock</span> gained at levels 1, 2, 4, and 6"
		//"Citadel_Player_Level_WeaponPower"							"<span class=\"boldText\">+{s:weapon_bonus}% Base Bullet Damage</span>, <span class=\"boldText\">+{s:melee_bonus}% Base Melee damage</span> and <span class=\"boldText\">+{s:health_bonus} Max Health </span>"		
		"Citadel_Player_Level_APShort"								"BS"
		"Citadel_Player_Level_AbilityUnlocksShort"					"Odemčení schopnosti"
		"Citadel_Player_Level_PowerIncreases"						"Navýšení síly"
		"Citadel_Player_Level_PowerIncreaseGrants"					"Každé navýšení síly poskytne:"
		"Citadel_Player_Level_Legend"								"Legenda:"
		"Citadel_Player_Level_AbilityUnlock"						"Odemčení schopnosti"
		"Citadel_Player_Level_PowerIncrease"						"Navýšení síly"
		"Citadel_Player_Level_AP"									"Bod schopnosti"
		"Citadel_Player_Level_BaseBullet"							"Základní balistické poškození"
		"Citadel_Player_Level_BaseMelee"							"Základní poškození úderu"
		"Citadel_Player_Level_BaseHealth"							"Základní zdraví"
		"Citadel_Player_Level_SpiritAmp"							"Navýšení spirituálního poškození"
		"Citadel_Player_Level_BulletResist"							"Balistická odolnost"
		"Citadel_Player_Level_WeaponRange"							"Dosah střel"
		"Citadel_Hero_Stats_Tooltip_WeaponPower"					"Celkový bonus ke tvému balistickému poškození a poškození úderů získaný od předmětů ze záložky „Zbraň“."
		"Citadel_Hero_Stats_Tooltip_HealthMult"						"Celkový bonus ke tvému základnímu zdraví získaný od předmětů ze záložky „Tělo“."
		"Citadel_Hero_Stats_Tooltip_Spirit"							"<span class=\"spirit_color\">Spirituální síla</span> ovlivňuje účinnost tvých schopností. Body spirituální síly získáš od předmětů ze záložky „Mysl“."
		"Citadel_Hero_Stats_Tooltip_Spirit_IconDesc"				"Dopad <span class=\"spirit_color\">spirituální síly</span> na danou schopnost zjistíš pod příslušnou ikonou."
		"Citadel_Hero_Stats_Tooltip_Shards"							"Tvá dostupná měna, kterou můžeš utratit za předměty."
		"Citadel_Hero_Stats_Souls"									"duší"
		"Citadel_Hero_Stats_Unsecured"								"nezajištěných"

		"Citadel_Shop_Purchased"									"Zakoupeno"
		"Citadel_Shop_HoldAlt"										"Podrž <span class=\"keybind\">[{s:key_extra_info}]</span>"
		"Citadel_Shop_ConditionalAttribute"							"Podmíněný bonus"
		"Citadel_Shop_BonusAttribute"								"Bonus"
		"Citadel_ShopFilter_Durabilty"								"Odolnost"
		"Citadel_ShopFilter_WeaponDamage"							"Fyzické poškození"
		"Citadel_ShopFilter_MagicDamage"							"Spirituální poškození"
		"Citadel_ShopFilter_Ammo"									"Náboje"
		"Citadel_ShopFilter_FireRate"								"Rychlost střelby"
		"Citadel_ShopFilter_Melee"									"Na blízko"
